Number of model parameters: 79003758
Test: [230/267]	Time 1.200 (1.148)	Loss 1.9736 (1.3544)
Test: [240/267]	Time 1.130 (1.146)	Loss 0.9778 (1.3804)
Test: [250/267]	Time 1.110 (1.145)	Loss 1.6860 (1.3884)
Test: [260/267]	Time 1.016 (1.142)	Loss 0.7786 (1.3734)
------------------------------------------------------------------------------------------------------
[epoch: 1], [val_loss: 1.364840], [acc: 0.52761], [miou: 0.37888]
best record: [epoch: 1], [val_loss: 1.36484], [acc: 0.52761], [miou: 0.37888]
------------------------------------------------------------------------------------------------------
Epoch: [2][0/374]	Time 3.732 (3.732)	Loss 2.8427 (2.8427)
Epoch: [2][10/374]	Time 0.957 (1.154)	Loss 2.1264 (2.1946)
Epoch: [2][20/374]	Time 0.825 (1.011)	Loss 2.0106 (2.3669)
Epoch: [2][30/374]	Time 0.827 (0.952)	Loss 2.8126 (2.3445)
Epoch: [2][40/374]	Time 1.006 (0.936)	Loss 1.7733 (2.3120)
Epoch: [2][50/374]	Time 0.838 (0.919)	Loss 2.1556 (2.3020)
Epoch: [2][60/374]	Time 0.851 (0.905)	Loss 2.4793 (2.2601)
Epoch: [2][70/374]	Time 0.812 (0.890)	Loss 1.5476 (2.2388)
Epoch: [2][80/374]	Time 1.006 (0.893)	Loss 2.1322 (2.2375)
Epoch: [2][90/374]	Time 0.923 (0.889)	Loss 2.0861 (2.2460)
Epoch: [2][100/374]	Time 0.821 (0.888)	Loss 2.3581 (2.2467)
Epoch: [2][110/374]	Time 0.889 (0.890)	Loss 2.3043 (2.2326)
Epoch: [2][120/374]	Time 0.811 (0.887)	Loss 1.7875 (2.2250)
Epoch: [2][130/374]	Time 0.821 (0.882)	Loss 1.8142 (2.2148)
Epoch: [2][140/374]	Time 0.826 (0.877)	Loss 2.2089 (2.2070)
Epoch: [2][150/374]	Time 1.021 (0.881)	Loss 2.2969 (2.2039)
Epoch: [2][160/374]	Time 0.949 (0.883)	Loss 1.9020 (2.1913)
Epoch: [2][170/374]	Time 0.964 (0.886)	Loss 2.4155 (2.1850)
Epoch: [2][180/374]	Time 0.962 (0.888)	Loss 1.9280 (2.1789)
Epoch: [2][190/374]	Time 0.891 (0.891)	Loss 2.1030 (2.1692)
Epoch: [2][200/374]	Time 0.909 (0.892)	Loss 2.5235 (2.1659)
Epoch: [2][210/374]	Time 0.950 (0.893)	Loss 2.0056 (2.1648)
Epoch: [2][220/374]	Time 0.924 (0.895)	Loss 2.1813 (2.1648)
Epoch: [2][230/374]	Time 0.808 (0.893)	Loss 2.1404 (2.1651)
Epoch: [2][240/374]	Time 0.872 (0.892)	Loss 2.0269 (2.1644)
Epoch: [2][250/374]	Time 0.843 (0.891)	Loss 1.7104 (2.1633)
Epoch: [2][260/374]	Time 0.942 (0.890)	Loss 2.2398 (2.1581)
Epoch: [2][270/374]	Time 1.206 (0.889)	Loss 2.0120 (2.1562)
Epoch: [2][280/374]	Time 0.817 (0.887)	Loss 1.8440 (2.1562)
Epoch: [2][290/374]	Time 0.806 (0.885)	Loss 2.0326 (2.1504)
